일시,padding_F,padding_M
2019-11-23,34.90503,38.77929
2019-11-24,38.7568,42.17669
2019-11-25,45.03254,48.06946
2019-11-26,40.15141,40.32203
2019-11-27,40.69597,40.82785
2019-11-28,39.66662,36.95835
2019-11-29,36.20666,36.22491
2019-11-30,37.87355,38.33249
2019-12-01,46.90529,46.65317
2019-12-02,50.07305,49.43517
2019-12-03,54.04436,48.58371
2019-12-04,44.136,41.41797
2019-12-05,53.89161,47.33603
2019-12-06,54.83463,50.51424
2019-12-07,45.43764,44.41915
2019-12-08,44.55438,43.77002
2019-12-09,37.97317,35.55049
2019-12-10,30.89387,30.13825
2019-12-11,28.58281,27.52486
2019-12-12,28.73555,26.87573
2019-12-13,25.54788,24.82717
2019-12-14,26.79638,26.27718
2019-12-15,27.40071,27.20451
2019-12-16,21.93518,21.74169
2019-12-17,21.23123,20.87337
2019-12-18,21.60977,20.55302
2019-12-19,23.92083,21.37076
2019-12-20,22.97117,21.6321
2019-12-21,23.88763,22.51728
2019-12-22,25.16934,24.5827
2019-12-23,20.8859,20.94081
2019-12-24,15.73914,16.95329
2019-12-25,19.59091,20.61203
2019-12-26,19.73037,18.86697
2019-12-27,19.59091,17.9312
2019-12-28,19.82334,18.52975
2019-12-29,20.98552,19.60883
2019-12-30,18.48851,16.85213
2019-12-31,18.65453,18.15039
2020-01-01,16.816,16.04987
2020-01-02,15.18684,13.62295
2020-01-03,12.9111,11.65191
2020-01-04,13.37949,12.01394
2020-01-05,14.1177,12.21507
2020-01-06,12.94165,10.74684
2020-01-07,11.2514,9.7211
2020-01-08,11.29722,9.73451
2020-01-09,11.54668,9.31214
2020-01-10,10.14662,8.65513
2020-01-11,10.63028,9.53338
2020-01-12,12.77364,11.77929
2020-01-13,12.1118,11.86645
2020-01-14,12.53436,9.60713
2020-01-15,11.97943,8.97693
2020-01-16,11.84197,8.50764
2020-01-17,10.07025,8.2931
2020-01-18,11.15466,8.96352
2020-01-19,11.42449,9.80155
2020-01-20,9.43895,7.73665
2020-01-21,9.20985,7.46849
2020-01-22,7.63669,6.14776
2020-01-23,6.34354,5.51756
2020-01-24,6.1399,5.52426
2020-01-25,6.66938,5.84607
2020-01-26,7.00539,6.19469
2020-01-27,8.47673,6.57683
2020-01-28,6.92393,5.16224
2020-01-29,6.41991,5.16894
2020-01-30,6.43518,4.3041
2020-01-31,5.98207,4.33091
2020-02-01,6.52173,4.84714
2020-02-02,6.76102,6.09412
2020-02-03,6.83229,5.23598
2020-02-04,7.17849,6.08742
2020-02-05,8.47164,6.17457
2020-02-06,8.15599,7.6562
2020-02-07,6.89339,5.75891
2020-02-08,7.53487,7.13327
2020-02-09,7.81997,7.06623
2020-02-10,6.24681,5.1086
2020-02-11,6.03299,4.82032
2020-02-12,5.42205,4.33762
2020-02-13,4.65838,4.27058
2020-02-14,3.9558,3.70072
2020-02-15,4.28673,3.51971
2020-02-16,6.03299,5.46393
2020-02-17,6.64901,4.67953
2020-02-18,5.63588,4.17672
2020-02-19,5.1064,3.55993
2020-02-20,3.9558,3.43925
2020-02-21,2.95285,2.51407
2020-02-22,3.34996,2.88281
2020-02-23,3.54342,3.30517
2020-02-24,2.84085,2.42692
2020-02-25,2.70339,2.53419
2020-02-26,2.81539,2.31965
2020-02-27,2.61175,2.33976
2020-02-28,2.69829,2.35988
2020-02-29,2.61684,2.27272
2020-03-01,2.68302,2.5543
2020-03-02,2.70848,2.05819
2020-03-03,3.23286,2.19227
2020-03-04,3.19213,2.90292
2020-03-05,3.23286,2.25931
2020-03-06,2.83066,1.97103
2020-03-07,3.14122,2.47385
2020-03-08,2.5201,2.35317
2020-03-09,2.83576,2.19898
2020-03-10,2.5201,2.30624
2020-03-11,3.03431,2.13864
2020-03-12,2.5201,1.89729
2020-03-13,2.63211,1.95762
2020-03-14,2.78484,2.19898
2020-03-15,3.20232,2.54089
2020-03-16,3.12595,1.97103
2020-03-17,2.58629,1.98444
2020-03-18,2.26046,1.83024
2020-03-19,2.60665,1.95762
2020-03-20,1.98045,1.68275
2020-03-21,1.66479,1.51515
2020-03-22,1.6597,1.46822
2020-03-23,1.67498,1.50174
2020-03-24,1.47642,1.27379
2020-03-25,1.21168,1.14641
2020-03-26,1.19641,1.02574
2020-03-27,1.23714,1.26039
